stock,total_comments,tenth_comment_time
AAPL,5979,2024-08-07
BA,4571,2024-09-03
NVDA,4301,2024-05-23
MSFT,3843,2024-01-24
NKE,3381,2024-08-08
HD,3342,2024-02-21
AMGN,3293,2023-07-11
DIS,3246,2024-05-09
AXP,3143,2023-07-21
VZ,3094,2024-03-08
MMM,3085,2024-02-08
MCD,3081,2024-10-21
CSCO,2953,2024-04-23
MRK,2938,2024-03-27
IBM,2853,2024-04-26
KO,2851,2023-12-21
CVX,2844,2024-01-19
UNH,2822,2024-10-14
WMT,2749,2024-08-08
SHW,2729,2022-01-14
HON,2692,2023-02-21
JPM,2684,2024-09-09
CAT,2587,2024-02-05
GS,2544,2024-02-19
V,2064,2024-06-07
JNJ,1981,2024-05-31
PG,1950,2023-10-03
CRM,964,2024-10-31
AMZN,942,2024-10-31
TRV,269,2024-04-17
